,Fall 2012 Season Schedule,,,,
,,,,,
,,Version 5   10/4/12,,,
,,Home Team is listed first - use 1st base duggout,,,
,,,,,
Sat 9/8,Con 8:30-11:15,8U9,Con 11:15-2:00,14US5,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs. SS2,SS3 vs. SS4,8U1 vs. 8U2,10UF6 vs. 10UF7,SS5 vs. SS6
,10:00,10:00,10:15,10:15,10:00
,14UF3 vs. 14UF4,10US1 vs. 10US2,8U3 vs. 8U4,10UF2 vs. 10UF10,14US1 vs. 14US2
,11:30,11:15,11:30,11:30,11:30
,14UF1 vs. 14UF2,14US3 vs. 14US4,8U5 vs. 8U6,10UF3 vs. 10UF1,10UF5 vs. 10UF8
,1:00,12:30,12:45,12:45,12:45
,12UF1 vs. 12UF2,12UF3 vs. 12UF4,8U7 vs. 8U8,10UF4 vs. 10UF9,15F1 vs. 15F2
,,,,,
Mon 9/10,Con,12UF2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS2 vs. SS3,8U9 vs. 8U2,8U6 vs. 8U3,10UF4 vs. 10UF2,SS6 vs. SS1
,7:15,7:15,7:15,7:15,7:15
,14UF4 vs. 14UF1,14US5 vs. 14US1,19US4 vs. 19US5,19US1 vs. 19US3,15F3 vs. 15F1
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Tue 9/11,Con,8U6,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS4 vs. SS5,,10US3 vs. 10US1,10UF10 vs. 10UF3,10UF6 vs. 10UF9
,7:15,7:15,7:15,7:15,7:15
,14UF2 vs. 14UF3,,14US2 vs. 14US3,10UF7 vs. 10UF8,15F2 vs. 15F3
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Thu 9/13,Con,10UF6,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,12UF5 vs. 12UF1,8U5 vs. 8U7,8U4 vs. 8U1,10UF5 vs. 10UF1,
,7:15,7:15,7:15,7:15,7:15
,12UF2 vs. 12UF3,19US4 vs. 19US2,10US2 vs. 10US3,19US5 vs. 19US3,
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Sat 9/15,Con 8:30-11:15,8U7,Con 11:15-2:00,14US3,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs. SS5,SS2 vs. SS4,8U1 vs. 8U6,10UF6 vs. 10UF4,SS3 vs. SS6
,10:00,10:00,10:15,10:15,10:00
,14UF2 vs. 14UF4,10US3 vs. 10US2,8U2 vs. 8U3,10UF8 vs. 10UF2,14US4 vs. 14US1
,11:30,11:15,11:30,11:30,11:30
,14UF1 vs. 14UF3,14US2 vs. 14US5,8U4 vs. 8U9,10UF9 vs. 10UF1,10UF10 vs. 10UF5
,1:00,12:30,12:45,12:45,12:45
,12UF4 vs. 12UF1,12UF2 vs. 12UF5,8U8 vs. 8U5,10UF7 vs. 10UF3,
,,,,,
Mon 9/17,Con,12UF4,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS3 vs. SS1,8U7 vs. 8U1,8U2 vs. 8U8,10UF8 vs. 10UF4,10UF7 vs. 10UF5
,7:15,7:15,7:15,7:15,7:15
,14UF2 vs. 14UF1,14US1 vs. 14US3,19US2 vs. 19US1,10UF6 vs. 10UF10,15F1 vs. 15F3
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Tue 9/18,All games rescheduled for 9/26,,,,
,,,,,
Thu 9/20,Con,10UF3,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS4 vs. SS6,8U4 vs. 8U5,10US2 vs. 10US1,10UF1 vs. 10UF2,8U3 vs. 8U9
,7:15,7:15,7:15,7:15,7:15
,12UF1 vs. 12UF3,12UF4 vs. 12UF5,14US5 vs. 14US3,15F2 vs. 15F1,19US3 vs. 19US4
,8:30,8:30,8:30,8:30,8:30
,,,,,19US2 vs. 19US5
,,,,,
Sat 9/22,Con 8:30-11:15,12UF3,Con 11:15-2:00,10US3,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs. SS4,SS6 vs. SS2,8U8 vs. 8U4,10UF8 vs. 10UF6,SS5 vs. SS3
,10:00,10:00,10:15,10:15,10:00
,14UF1 vs. 14UF4,10US3 vs. 10US1,8U1 vs. 8U3,10UF2 vs. 10UF3,14US4 vs. 14US2
,11:30,11:15,11:30,11:30,11:30
,14UF3 vs. 14UF2,14US5 vs. 14US3,8U6 vs. 8U9,10UF10 vs. 10UF7,10UF5 vs. 10UF9
,1:00,12:30,12:45,12:45,12:45
,12UF4 vs. 12UF2,12UF5 vs. 12UF3,8U7 vs. 8U2,10UF1 vs. 10UF4,15F3 vs. 15F2
,1:30,1:30,1:00,2:00,1:00
,,,,,
Mon 9/24,Con,14UF2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS2 vs. SS1,8U2 vs. 8U6,8U5 vs. 8U1,10UF10 vs. 10UF8,10UF3 vs. 10UF4
,7:15,7:15,7:15,7:15,7:15
,14UF3 vs. 14UF1,14US2 vs. 14US1,12UF1 vs. 12UF3,19US1 vs. 19US4,19US5 vs. 19US2
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Tue 9/25,Con,14UF3,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS4 vs. SS3,8U3 vs. 8U8,10US1 vs. 10US2,10UF1 vs. 10UF6,10UF9 vs. 10UF7
,7:15,7:15,7:15,7:15,7:15
,14UF4 vs. 14UF2,14US3 vs. 14US4,19US3 vs. 19US1,19US5 vs. 19US4,15F1 vs. 15F2
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Wed 9/26,Con,10UF1,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,,8U7 vs. 8U9,10US1 vs. 10US3,10UF9 vs. 10UF3,
,7:15,7:15,7:15,7:15,7:15
,,14US4 vs. 14US5,14UF4 vs. 14UF3,19US3 vs. 19US2,
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Thu 9/27,Con,10UF9,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS6 vs. SS5,8U9 vs. 8U7,10US2 vs. 10US3,10UF2 vs. 10UF5,
,7:15,7:15,7:15,7:15,7:15
,12UF2 vs. 12UF1,12UF3 vs. 12UF4,14US4 vs. 14US2,15F3 vs. 15F1,19US1 vs. 19US2
,8:30,8:30,8:30,8:30,8:30
,,,,,19US3 vs. 19US4
,,,,,
Sat 9/29,Con 8:30-11:15,10UF8,Con 11:15-2:00,8U4,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS3 vs. SS2,SS1 vs. SS6,8U2 vs. 8U4,10UF3 vs. 10UF6,SS5 vs. SS4
,10:00,10:00,10:15,10:15,10:00
,14UF3 vs. 14UF4,10US2 vs. 10US1,8U6 vs. 8U7,10UF9 vs. 10UF10,14US1 vs. 14US5
,11:15,11:15,11:30,11:30,11:30
,14UF1 vs. 14UF2,14US3 vs. 14US2,8U9 vs. 8U5,10UF4 vs. 10UF5,15F2 vs. 15F3
,12:45,12:30,12:45,12:45,12:45
,12UF1 vs. 12UF5,12UF3 vs. 12UF2,8U8 vs. 8U1,10UF1 vs. 10UF8,
,1:30,1:30,2:00,2:00,2:00
,,,,,
,,,,,
Mon 10/1,All games rescheduled for 10/3,,,,
,,,,,
Tue 10/2,All games rescheduled for 10/10 and 10/4,,,,
,,,,,
Wed 10/3,Con,14US2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS6 vs. SS3,8U1 vs. 8U9,8U3 vs. 8U5,10UF2 vs. 10UF9,10UF4 vs. 10UF7
,7:15,7:15,7:15,7:15,7:15
,14UF4 vs. 14UF1,14US1 vs. 14US4,12UF4 vs. 12UF5,19US1 vs. 19US2,15F2 vs. 15F1
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Thu 10/4,Con,14UF4,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,12UF1 vs. 12UF4,8U8 vs. 8U6,10US3 vs. 10US2,10UF10 vs. 10UF1,SS4 vs. SS2
,7:15,7:15,7:15,7:15,7:15
,12UF5 vs. 12UF2,19US3 vs. 19US4,14US4 vs. 14US5,10UF6 vs. 10UF5,15F1 vs. 15F3
,8:30,8:30,8:30,8:30,8:30
,,19US2 vs. 19US4,,,
,,,,,
Sat 10/6,Con 8:30-11:15,15F2,Con 11:15-2:00,10US1,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs. SS3,SS6 vs. SS4,8U5 vs. 8U2,10UF4 vs. 10UF10,SS2 vs. SS5
,10:00,10:00,10:15,10:15,10:00
,14UF2 vs. 14UF4,10US2 vs. 10US3,8U7 vs. 8U3,10UF6 vs. 10UF2,14US3 vs. 14US1
,11:30,11:15,11:30,11:30,11:30
,14UF1 vs. 14UF3,14US5 vs. 14US4,8U4 vs. 8U6,10UF7 vs. 10UF1,10UF8 vs. 10UF9
,1:00,12:30,12:45,12:45,12:45
,12UF3 vs. 12UF1,12UF5 vs. 12UF4,8U9 vs. 8U8,10UF5 vs. 10UF3,
,,,,,
Mon 10/8,Con,Makeup,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS4 vs. SS1,8U2 vs. 8U1,8U4 vs. 8U3,10UF8 vs. 10UF5,10UF9 vs. 10UF4
,7:15,7:15,7:15,7:15,7:15
,14UF2 vs. 14UF1,14US2 vs. 14US4,12UF4 vs. 12UF2,19US5 vs. 19US1,10UF7 vs. 10UF2
,8:30,8:30,8:30,8:30,8:30
,,,,19US2 vs. 19US3,15F1 vs. 15F2
,,,,,
Tue 10/9,Con,10UF5,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS2 vs. SS6,8U6 vs. 8U5,10US3 vs. 10US1,10UF1 vs. 10UF3,SS3 vs. SS5
,7:15,7:15,7:15,7:15,7:15
,14UF4 vs. 14UF3,19US4 vs. 19US1,14US3 vs. 14US5,19US2 vs. 19US5,15F3 vs. 15F1
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Wed 10/10,Con,10UF10,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS5 vs. SS1,8U4 vs. 8U7,10US1 vs. 10US3,10UF3 vs. 10UF8,
,7:15,7:15,7:15,7:15,7:15
,15F3 vs. 15F2,14UF2 vs. 14UF3,14US5 vs. 14US2,19US3 vs. 19US5,
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Thu 10/11,Con,14US4,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,12UF2 vs. 12UF4,8U8 vs. 8U7,10US1 vs. 10US2,10UF10 vs. 10UF2,SS5 vs. SS2
,7:15,7:15,7:15,7:15,7:15
,12UF3 vs. 12UF5,19US2 vs. 19US3,14US1 vs. 14US3,10UF7 vs. 10UF6,19US1 vs. 19US5
,8:30,8:30,8:30,8:30,8:30
,,,,,19US5 vs. 19US1
,,,,,
Sat 10/13,Con 8:30-11:15,8U8,Con 11:15-2:00,8U3,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs. SS2,SS3 vs. SS4,8U3 vs. 8U6,10UF4 vs. 10UF6,SS5 vs. SS6
,10:00,10:00,10:15,10:15,10:00
,14UF1 vs. 14UF4,10US1 vs. 10US3,8U1 vs. 8U4,10UF2 vs. 10UF8,14US1 vs. 14US2
,11:30,11:15,11:30,11:30,11:30
,14UF3 vs. 14UF2,14US3 vs. 14US4,8U2 vs. 8U9,10UF1 vs. 10UF9,10UF5 vs. 10UF10
,1:00,12:30,12:45,12:45,12:45
,12UF1 vs. 12UF2,12UF3 vs. 12UF4,8U7 vs. 8U5,10UF3 vs. 10UF7,15F2 vs. 15F3
,,,,,
Mon 10/15,Con,8U1,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,,8U3 vs. 8U2,8U9 vs. 8U4,10UF4 vs. 10UF8,10UF5 vs. 10UF7
,7:15,7:15,7:15,7:15,7:15
,,14US5 vs. 14US1,12UF5 vs. 12UF3,19US4 vs. 19US1,15F2 vs. 15F1
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Tue 10/16,Con,10UF7,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,14UF4 vs. 14UF2,8U6 vs. 8U8,10US2 vs. 10US1,10UF10 vs. 10UF6,
,7:15,7:15,7:15,7:15,7:15
,14UF3 vs. 14UF1,19US4 vs. 19US2,14US2 vs. 14US3,19US5 vs. 19US3,
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Thu 10/18,Con,Makeup,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,,8U6 vs. 8U1,10US3 vs. 10US2,10UF2 vs. 10UF1,8U5 vs. 8U8
,7:15,7:15,7:15,7:15,7:15
,,12UF2 vs. 12UF3,12UF5 vs. 12UF1,10UF3 vs. 10UF9,15F1 vs. 15F3
,8:30,8:30,8:30,8:30,8:30
,,,19US4 vs. 19US5,19US1 vs. 19US3,
,,,,,
Sat 10/20,Con,10US2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,12UF4 vs. 12UF1,14US4 vs. 14US1,8U8 vs. 8U2,8U1 vs. 8U7,SS4 vs. SS5
,10:00,10:00,10:15,10:15,10:00
,12UF2 vs. 12UF5,14US2 vs. 14US5,8U9 vs. 8U3,8U5 vs. 8U4,SS6 vs. SS1
,11:30,11:15,11:30,11:30,11:00
,15F3 vs. 15F2,,,,SS2 vs. SS3
,1:00,12:30,12:45,12:45,12:45